epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.628,0.72065,1.67915,1.04777,0.66172,0.44332,0.5022,0.40146,0.73392,1.20469,0.99902,0.067,3.3033e-05,3.3033e-05
2,126.676,0.59352,0.89394,0.96788,0.80633,0.55186,0.64387,0.52189,0.59484,0.78695,0.92354,0.0336994,6.58134e-05,6.58134e-05
3,191.113,0.54276,0.72646,0.93596,0.81235,0.60452,0.69071,0.56542,0.56662,0.68635,0.9224,0.000398339,9.80382e-05,9.80382e-05
4,249.342,0.50305,0.60973,0.91493,0.82455,0.65456,0.72346,0.58166,0.55564,0.63114,0.91519,9.75003e-05,9.75003e-05,9.75003e-05
5,315.329,0.51529,0.58571,0.91506,0.87116,0.63376,0.72939,0.59453,0.5394,0.5838,0.90627,9.6667e-05,9.6667e-05,9.6667e-05
6,371.581,0.48849,0.53428,0.90037,0.85867,0.66976,0.73776,0.59884,0.52778,0.58281,0.895,9.58338e-05,9.58338e-05,9.58338e-05
7,425.539,0.47856,0.52015,0.89902,0.89114,0.66149,0.74968,0.61394,0.52256,0.54068,0.88832,9.50005e-05,9.50005e-05,9.50005e-05
8,479.158,0.46644,0.48865,0.89017,0.86022,0.68331,0.75475,0.62406,0.50338,0.53992,0.88179,9.41673e-05,9.41673e-05,9.41673e-05
9,533.573,0.45403,0.46913,0.88918,0.90028,0.66175,0.76442,0.62697,0.50959,0.51728,0.89264,9.3334e-05,9.3334e-05,9.3334e-05
10,587.807,0.45062,0.45489,0.88151,0.88932,0.68577,0.76646,0.62765,0.50537,0.51371,0.87825,9.25008e-05,9.25008e-05,9.25008e-05
11,641.883,0.45377,0.43896,0.87891,0.89176,0.66255,0.76023,0.62984,0.49989,0.52283,0.87631,9.16675e-05,9.16675e-05,9.16675e-05
12,695.699,0.43449,0.42173,0.87378,0.88551,0.69272,0.77518,0.63693,0.50012,0.51636,0.87954,9.08342e-05,9.08342e-05,9.08342e-05
13,752.524,0.44551,0.42362,0.8783,0.92609,0.67804,0.77195,0.62476,0.51028,0.50405,0.87982,9.0001e-05,9.0001e-05,9.0001e-05
14,807.791,0.42793,0.4135,0.87347,0.90593,0.6796,0.76751,0.64237,0.49101,0.4969,0.88142,8.91677e-05,8.91677e-05,8.91677e-05
15,864.408,0.42761,0.41509,0.86926,0.91493,0.69616,0.78358,0.64847,0.48539,0.48654,0.87825,8.83345e-05,8.83345e-05,8.83345e-05
16,920.637,0.4262,0.39537,0.86751,0.9065,0.68585,0.77447,0.64582,0.48897,0.49223,0.87513,8.75013e-05,8.75013e-05,8.75013e-05
17,974.473,0.42387,0.39097,0.86535,0.91071,0.68817,0.7797,0.646,0.50177,0.48665,0.88818,8.6668e-05,8.6668e-05,8.6668e-05
18,1028.67,0.41684,0.38183,0.86458,0.91983,0.70377,0.78261,0.65549,0.48077,0.46395,0.86968,8.58348e-05,8.58348e-05,8.58348e-05
19,1083.52,0.42187,0.38139,0.86409,0.91405,0.70511,0.79237,0.66391,0.47057,0.44552,0.86428,8.50015e-05,8.50015e-05,8.50015e-05
20,1138.57,0.40361,0.37438,0.85826,0.89503,0.72229,0.79627,0.65785,0.48001,0.45956,0.87486,8.41683e-05,8.41683e-05,8.41683e-05
21,1193.07,0.41033,0.36741,0.8599,0.94465,0.70656,0.80095,0.66938,0.4695,0.44319,0.86832,8.3335e-05,8.3335e-05,8.3335e-05
22,1247.61,0.40595,0.3589,0.85665,0.91118,0.71941,0.79859,0.66839,0.47177,0.43639,0.87308,8.25017e-05,8.25017e-05,8.25017e-05
23,1303.54,0.39138,0.34498,0.85487,0.94871,0.69883,0.79552,0.66694,0.45871,0.44124,0.87052,8.16685e-05,8.16685e-05,8.16685e-05
24,1359.66,0.39213,0.34682,0.85107,0.91207,0.7096,0.78878,0.65621,0.47654,0.4609,0.87964,8.08353e-05,8.08353e-05,8.08353e-05
25,1416.25,0.38788,0.35001,0.84889,0.88478,0.71998,0.79436,0.66212,0.4667,0.46578,0.87205,8.0002e-05,8.0002e-05,8.0002e-05
